PF_PJ	CD_PARTIC	CNPJ	DT_REG	LOGRADOURO	COMPL	DS_PARTIC	DT_CONST	BAIRRO	CEP	OFICIO_REG	REG_CART_TITULO	MUN	VL_PATRIM_LIQ	UF	DDD	DT_PATRIM_LIQ	TEL	CONTROLE_ACIONARIO	ADM	FAX	CNPJ_ADM	DT_CANC	SIT	DT_INI_SIT	OFICIO_CANC	DENOM_SOCIAL	MOTIVO_CANC	EMAIL_ADM	DENOM_COMERC	DIRETOR
PJ	43	5359497000152	04/11/2002 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	31/10/2002			1581	2763210		0.00			31/12/2002						03/01/2003	CANCELADA	03/01/2003		BANESPA FMP-FGTS BANCO DO BRASIL	CANCELAMENTO POR DECISÃO ADMINISTRATIVA		BANESPA FMP-FGTS BANCO DO BRASIL	
PJ	43	3915495000177	17/08/2000 00:00:00	PC ALFREDO E.S. ARANHA, 100	T.O.SETUBAL	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	10/07/2000	PRQ. JABAQUARA	4344902	1698	344069	SÃO PAULO	296074.87	SP	11	17/05/2019	50199986		ITAU UNIBANCO S.A.		60701190000104		EM FUNCIONAMENTO NORMAL	19/07/2000		BANESTADO  FMP - FGTS  PETROBRAS		relacionamento.reguladores@itau-unibanco.com.br	BANESTADO  FMP - FGTS  PETROBRAS	EDUARDO ESTEFAN VENTURA
PJ	43	3919474000120	17/08/2000 00:00:00	AV ATLANTICA 1130	12 ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	10/07/2000	COPACABANA	22021000	1695	1353751	RIO DE JANEIRO	3190914.79	RJ	21	16/05/2019	38201700		MAXIMA S/A CCTVM	38201796	33886862000112		EM FUNCIONAMENTO NORMAL	17/08/2000		BANESTES  FMP - FGTS  PETROBRAS		compliance@bancomaxima.com.br	BANESTES  FMP - FGTS  PETROBRAS	LUIZ ANTONIO BULL
PJ	43	4894428000186	27/03/2002 00:00:00	AV ATLANTICA 1130	12 ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	18/02/2002	COPACABANA	22021000	200	1433760	RIO DE JANEIRO	3950132.08	RJ	21	16/05/2019	38201700		MAXIMA S/A CCTVM	38201796	33886862000112		EM FUNCIONAMENTO NORMAL	27/03/2002		BANESTES FMP-FGTS VALE DO RIO DOCE		compliance@bancomaxima.com.br	BANESTES FMP-FGTS VALE DO RIO DOCE	LUIZ ANTONIO BULL
PJ	43	2838578000147	17/08/2000 00:00:00	PRAÇA XV DE NOVEMBRO, 20	2º E 3º ANDARES	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	11/07/2000	CENTRO	20010010		555254	RIO DE JANEIRO	155219894.20	RJ	21	17/05/2019	38087500		BB GESTAO DE RECURSOS DTVM S.A	38087600	30822936000169		EM FUNCIONAMENTO NORMAL	01/08/2000		BB   FMP - FGTS  PETROBRAS		bbdtvm@bb.com.br	BB   FMP - FGTS  PETROBRAS	JOAO VAGNES DE MOURA SILVA
PJ	43	5358488000147	05/11/2002 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	31/10/2002			1586	920775		0.00			31/12/2002						03/01/2003	CANCELADA	03/01/2003		BB FMP-FGTS BANCO DO BRASIL	CANCELAMENTO POR DECISÃO ADMINISTRATIVA		BB FMP-FGTS BANCO DO BRASIL	
PJ	43	5358459000185	05/11/2002 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	31/10/2002			1585	708991		1222362.78			31/12/2002						18/09/2003	CANCELADA	18/09/2003		BB FMP-FGTS BANCO DO BRASIL - MIGRAÇÃO	CANCELAMENTO A PEDIDO		BB FMP-FGTS BANCO DO BRASIL - MIGRAÇÃO	
PJ	43	4881687000172	27/03/2002 00:00:00	PRAÇA XV DE NOVEMBRO, 20	2º E 3º ANDARES	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	07/02/2002	CENTRO	20010010	121	680308	RIO DE JANEIRO	253958778.17	RJ	21	17/05/2019	38087500		BB GESTAO DE RECURSOS DTVM S.A	38087600	30822936000169		EM FUNCIONAMENTO NORMAL	27/03/2002		BB FMP-FGTS VALE DO RIO DOCE		bbdtvm@bb.com.br	BB FMP-FGTS VALE DO RIO DOCE	JOAO VAGNES DE MOURA SILVA
PJ	43	4881676000192	07/03/2002 00:00:00	PRAÇA XV DE NOVEMBRO, 20	2º E 3º ANDARES	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	07/02/2002	CENTRO	20010010	120	891978	RIO DE JANEIRO	3731703.09	RJ	21	17/05/2019	38087500		BB GESTAO DE RECURSOS DTVM S.A	38087600	30822936000169		EM FUNCIONAMENTO NORMAL	07/03/2002		BB FMP-FGTS VALE DO RIO DOCE MIGRAÇÃO		bbdtvm@bb.com.br	BB FMP-FGTS VALE DO RIO DOCE MIGRAÇÃO	JOAO VAGNES DE MOURA SILVA
PJ	43	3916976000105	17/08/2000 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	06/07/2000			1640	3230927		34008557.55			31/12/2003						06/07/2004	CANCELADA	06/07/2004		BCN FMP FGTS PETROBRAS	INCORPORAÇÃO		BCN PETROBRAS	
PJ	43	5359033000146	05/11/2002 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	31/10/2002			1574	181560		0.00			31/12/2002						03/01/2003	CANCELADA	03/01/2003		BCN FMP-FGTS BANCO DO BRASIL	CANCELAMENTO POR DECISÃO ADMINISTRATIVA		BCN FMP-FGTS BANCO DO BRASIL	
PJ	43	4882645000156	27/03/2002 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	08/02/2002			141	179632		26927831.53			31/12/2003						06/07/2004	CANCELADA	06/07/2004		BCN FMP-FGTS VALE DO RIO DOCE	INCORPORAÇÃO		BCN FMP-FGTS VALE DO RIO DOCE	
PJ	43	3928029000126	17/08/2000 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	13/07/2000			1749	3239027		0.00			18/01/2005						19/01/2005	CANCELADA	19/01/2005		BCN PRIVATE FMP FGTS PETROBRAS	INCORPORAÇÃO		BCN PRIVATE PETROBRAS	
PJ	43	4902273000182	27/03/2002 00:00:00	AVENIDA PRESIDENTE WILSON, 231	11º ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	22/02/2002	CENTRO	20030905	282	541731	RIO DE JANEIRO	16583104.93	RJ	21	17/05/2019	32192500		BNY MELLON SERVICOS FINANCEIROS DTVM S.A.	32192501	2201501000161		EM FUNCIONAMENTO NORMAL	27/03/2002		BES MULTICLUBES FMP-FGTS VALE DO RIO DOCE		bnymellon_cvm@bnymellon.com.br	BES MULTICLUBES FMP-FGTS VALE DO RIO DOCE	CARLOS ALBERTO SARAIVA
PJ	43	3920165000170	17/08/2000 00:00:00	RUA AMADOR BUENO, 474	1 ANDAR  BLOCO D	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	13/07/2000	SANTO AMARO	4752901	1732	272014	SÃO PAULO	2733233.01	SP	11	17/05/2019	35533827		SANTANDER SECURITIES SERVICES BRASIL DTVM S.A	35535829	62318407000119		EM FUNCIONAMENTO NORMAL	17/08/2000		BNB FMP-FGTS PETROBRÁS		compliances3@santander.com.br	---	-- SEM DIRETOR RESPONSÁVEL --
PJ	43	4896996000116	28/03/2002 00:00:00	RUA AMADOR BUENO, 474	1 ANDAR  BLOCO D	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	21/02/2002	SANTO AMARO	4752901	264	342409	SÃO PAULO	6627874.06	SP	11	17/05/2019	35533827		SANTANDER SECURITIES SERVICES BRASIL DTVM S.A	35535829	62318407000119		EM FUNCIONAMENTO NORMAL	28/03/2002		BNB FMP-FGTS VALE		compliances3@santander.com.br	---	-- SEM DIRETOR RESPONSÁVEL --
PJ	43	3917780000127	17/08/2000 00:00:00	AV PRES JUSC KUBITSCHEK 1909	9º - 11º ANDS	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	06/07/2000	VILA NOVA CONCEIÇÃO	4543011	1657	2412172	SÃO PAULO	3697526.30	SP	11	17/05/2019	38413146		BANCO BNP PARIBAS BRASIL S/A		1522368000182		EM FUNCIONAMENTO NORMAL	17/08/2000		BNP PARIBAS FMP FGTS PETROBRAS		administrador.fundos@br.bnpparibas.com	BNP PARIBAS PETROBRAS	ORONZO CHIARELLA
PJ	43	3918499000109	17/08/2000 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	11/07/2000			1707	811913		751889.99			31/12/2002						11/12/2003	CANCELADA	11/12/2003		BOAVISTA  FMP - FGTS  PETROBRAS	INCORPORAÇÃO		BOAVISTA  FMP - FGTS  PETROBRAS	
PJ	43	3929711000133	17/08/2000 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	14/07/2000	VILA YARA	6029900	1771	175.416	OSASCO	40580644.35	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	17/08/2000		BRADESCO  FMP - FGTS  PRIVATE  IV  PETROBRAS		andre.cruz@bradesco.com.br	BRADESCO  FMP - FGTS  PRIVATE  IV  PETROBRAS	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	3929719000108	17/08/2000 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	14/07/2000	VILA YARA	6029900	1772	175.415	OSASCO	6815510.70	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	17/08/2000		BRADESCO  FMP FGTS  PRIVATE III  PETROBRAS		andre.cruz@bradesco.com.br	BRADESCO  FMP FGTS  PRIVATE III  PETROBRAS	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	4884545000169	21/02/2002 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	18/02/2002	VILA YARA	6029900	197	7423255	OSASCO	13807225.68	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	21/02/2002		BRADESCO BA FMP FGTS VALE		andre.cruz@bradesco.com.br	BRADESCO BA FMP FGTS VALE	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	2998275000191	17/08/2000 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	04/07/2000	VILA YARA	6029900	1614	167.811	OSASCO	287478307.32	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	17/08/2000		BRADESCO FMP - FGTS  PETROBRAS		andre.cruz@bradesco.com.br	BRADESCO FMP - FGTS  PETROBRAS	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	5359024000155	05/11/2002 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	31/10/2002			1576	181558		0.00			31/12/2002						03/01/2003	CANCELADA	03/01/2003		BRADESCO FMP-FGTS BANCO DO BRASIL	CANCELAMENTO POR DECISÃO ADMINISTRATIVA		BRADESCO FMP-FGTS BANCO DO BRASIL	
PJ	43	5359029000188	05/11/2002 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	31/10/2002			1575	181557		0.00			31/12/2002						03/01/2003	CANCELADA	03/01/2003		BRADESCO FMP-FGTS BANCO DO BRASIL - PRIVATE	CANCELAMENTO POR DECISÃO ADMINISTRATIVA		BRADESCO FMP-FGTS BANCO DO BRASIL - PRIVATE	
PJ	43	4882637000100	27/03/2002 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	08/02/2002	VILA YARA	6029900	135	179633	OSASCO	250897595.46	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	27/03/2002		BRADESCO FMP-FGTS VALE		andre.cruz@bradesco.com.br	BRADESCO FMP-FGTS VALE	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	4882611000161	27/03/2002 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	08/02/2002	VILA YARA	6029900	140	179.628	OSASCO	1622341.35	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	27/03/2002		BRADESCO FMP-FGTS VALE DO RIO DOCE - FUNDO FORÇA		andre.cruz@bradesco.com.br	BRADESCO FMP-FGTS VALE DO RIO DOCE - FUNDO FORÇA	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	4882647000145	27/03/2002 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	08/02/2002	VILA YARA	6029900	138	179631	OSASCO	86617625.90	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	27/03/2002		BRADESCO FMP-FGTS VALE DO RIO DOCE - PRIVATE		andre.cruz@bradesco.com.br	BRADESCO FMP-FGTS VALE DO RIO DOCE - PRIVATE	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	4882688000131	27/03/2002 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	08/02/2002	VILA YARA	6029900	139	179.634	OSASCO	15892835.50	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	27/03/2002		BRADESCO FMP-FGTS VALE DO RIO DOCE - PRIVATE I		andre.cruz@bradesco.com.br	BRADESCO FMP-FGTS VALE DO RIO DOCE - PRIVATE I	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	4882596000151	01/03/2002 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	08/02/2002	VILA YARA	6029900	143	179.629	OSASCO	2512530.38	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	01/03/2002		BRADESCO FMP-FGTS VALE MIGRAÇÃO		andre.cruz@bradesco.com.br	BRADESCO FMP-FGTS VALE MIGRAÇÃO	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	3904236000140	17/08/2000 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	06/07/2000	VILA YARA	6029900	1629	844503	OSASCO	58098140.91	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	17/08/2000		BRADESCO H FMP-FGTS PETROBRÁS		andre.cruz@bradesco.com.br	--	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	4891399000107	27/03/2002 00:00:00	NÚCLEO CIDADE DE DEUS S/N	PR AMAR 1 AND	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	08/02/2002	VILA YARA	6029900	129	867219	OSASCO	77517299.27	SP	11	17/05/2019	36844522		BANCO BRADESCO S.A.	36845645	60746948000112		EM FUNCIONAMENTO NORMAL	27/03/2002		BRADESCO H FMP-FGTS VALE DO RIO DOCE		andre.cruz@bradesco.com.br	--	ANDRE BERNARDINO DA CRUZ FILHO
PJ	43	3911561000130	17/08/2000 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	11/07/2000			1699	365177		0.00			23/03/2016						24/03/2016	CANCELADA	24/03/2016		BRB  FMP - FGTS  PETROBRAS	CANCELAMENTO A PEDIDO		BRB  FMP - FGTS  PETROBRAS	
PJ	43	4895888000129	27/03/2002 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	21/02/2002			266	466731		0.00			23/03/2016						24/03/2016	CANCELADA	24/03/2016		BRB FMP-FGTS VALE DO RIO DOCE	CANCELAMENTO A PEDIDO		BRB FMP-FGTS VALE DO RIO DOCE	
PJ	43	3914469000124	17/08/2000 00:00:00	PRAIA DE BOTAFOGO, 501	6 ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	06/07/2000	BOTAFOGO	22250040	1659	600.600	RIO DE JANEIRO	5298594.43	RJ	21	17/05/2019	32629600		BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM	33832000	59281253000123		EM FUNCIONAMENTO NORMAL	18/08/2000		BTG PACTUAL FMP-FGTS PETROBRAS		ol-reguladores@btgpactual.com	BTG PACTUAL FMP-FGTS PETROBRAS	ALLAN HADID
PJ	43	4894403000182	27/03/2002 00:00:00	ALAMEDA ITU, 852	16º ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	15/02/2002	JD PAULISTA	1421002	169	1.142.185	SÃO PAULO	24395121.59	SP	11	17/05/2019	38966376		CA INDOSUEZ WEALTH (BRAZIL) S.A. DTVM	38966260	1638542000157		EM FUNCIONAMENTO NORMAL	27/03/2002		CA INDOSUEZ FMP-FGTS VALE DO RIO DOCE		dtvmcadastro@ca-indosuez.com.br	CREDIT AGRICOLE FMP - FGTS VALE DO RIO DOCE	URBANO ARAÚJO DE MORAES
PJ	43	3555959000181	17/08/2000 00:00:00	SETOR BANCÁRIO SUL QD 4 BL A	LOTES 3 E 4	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	12/07/2000	ASA SUL	70070140	1708	00342183	BRASÍLIA	483156286.42	DF	11	17/05/2019	35724420		CAIXA ECONOMICA FEDERAL	31504800	360305000104		EM FUNCIONAMENTO NORMAL	17/08/2000		CAIXA  FMP - FGTS  PETROBRAS  IV		viart@caixa.gov.br	CAIXA  FMP - FGTS  PETROBRAS  IV	ALENIR DE OLIVEIRA ROMANELLO
PJ	43	3915910000192	17/08/2000 00:00:00	SETOR BANCÁRIO SUL QD 4 BL A	LOTES 3 E 4	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	06/07/2000	ASA SUL	70070140	1653	00345222	BRASÍLIA	312006686.78	DF	11	17/05/2019	35724420		CAIXA ECONOMICA FEDERAL	31504800	360305000104		EM FUNCIONAMENTO NORMAL	17/08/2000		CAIXA FMP FGTS PETROBRAS II - CAIXA FMP FGTS PETROBRAS II		viart@caixa.gov.br	CAIXA FMP FGTS PETROBRAS II - CAIXA FMP FGTS PETROBRAS II	ALENIR DE OLIVEIRA ROMANELLO
PJ	43	3915903000190	17/08/2000 00:00:00	SETOR BANCÁRIO SUL QD 4 BL A	LOTES 3 E 4	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	06/07/2000	ASA SUL	70070140	1651	00345225	BRASÍLIA	576234237.51	DF	11	17/05/2019	35724420		CAIXA ECONOMICA FEDERAL	31504800	360305000104		EM FUNCIONAMENTO NORMAL	17/08/2000		CAIXA FMP FGTS PETROBRAS III - CAIXA FMP FGTS PETROBRAS III		viart@caixa.gov.br	CAIXA FMP FGTS PETROBRAS III - CAIXA FMP FGTS PETROBRAS III	ALENIR DE OLIVEIRA ROMANELLO
PJ	43	4885832000193	26/02/2002 00:00:00	SETOR BANCÁRIO SUL QD 4 BL A	LOTES 3 E 4	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	07/02/2002	ASA SUL	70070140	118	443.500	BRASÍLIA	3739363.58	DF	11	17/05/2019	35724420		CAIXA ECONOMICA FEDERAL	31504800	360305000104		EM FUNCIONAMENTO NORMAL	26/02/2002		CAIXA FMP FGTS VALE DO RIO DOCE - MIGRAÇÃO		viart@caixa.gov.br	CAIXA FMP FGTS VALE DO RIO DOCE - MIGRAÇÃO	ALENIR DE OLIVEIRA ROMANELLO
PJ	43	4885818000190	27/03/2002 00:00:00	SETOR BANCÁRIO SUL QD 4 BL A	LOTES 3 E 4	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	08/02/2002	ASA SUL	70070140	146	443493	BRASÍLIA	335801113.91	DF	11	17/05/2019	35724420		CAIXA ECONOMICA FEDERAL	31504800	360305000104		EM FUNCIONAMENTO NORMAL	27/03/2002		CAIXA FMP-FGTS VALE DO RIO DOCE I		viart@caixa.gov.br	CAIXA FMP-FGTS VALE DO RIO DOCE I	ALENIR DE OLIVEIRA ROMANELLO
PJ	43	4885824000147	27/03/2002 00:00:00	SETOR BANCÁRIO SUL QD 4 BL A	LOTES 3 E 4	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	08/02/2002	ASA SUL	70070140	145	443495	BRASÍLIA	631160441.72	DF	11	17/05/2019	35724420		CAIXA ECONOMICA FEDERAL	31504800	360305000104		EM FUNCIONAMENTO NORMAL	27/03/2002		CAIXA FMP-FGTS VALE DO RIO DOCE II		viart@caixa.gov.br	CAIXA FMP-FGTS VALE DO RIO DOCE II	ALENIR DE OLIVEIRA ROMANELLO
PJ	43	3920198000110	17/08/2000 00:00:00	RUA LEOPOLDO COUTO MAGALHÃES J	13º ANDAR - PARTE	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	10/07/2000	ITAIM BIBI	4542000	1686	3233642	SÃO PAULO	7623227.85	SP	11	17/05/2019	37016371		CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.	37016911	61809182000130		EM FUNCIONAMENTO NORMAL	17/08/2000		CSHG FMP - FGTS PETROBRAS		list.cs-bra-leg@credit-suisse.com	CSHG FMP - FGTS PETROBRAS	AECTO ANTONIO DE CAMPOS PINTO
